ABW,"Dutch                         ",T,5.3
AFG,"Balochi                       ",F,0.9
AGO,"Ambo                          ",F,2.4
AIA,"English                       ",T,0.0
ALB,"Albaniana                     ",T,97.9
AND,"Catalan                       ",T,32.3
ANT,"Dutch                         ",T,0.0
ARE,"Arabic                        ",T,42.0
ARG,"Indian Languages              ",F,0.3
ARM,"Armenian                      ",T,93.4
ASM,"English                       ",T,3.1
ATG,"Creole English                ",F,95.7
AUS,"Arabic                        ",F,1.0
AUT,"Czech                         ",F,0.2
AZE,"Armenian                      ",F,2.0
BDI,"French                        ",T,0.0
BEL,"Arabic                        ",F,1.6
BEN,"Adja                          ",F,11.1
BFA,"Busansi                       ",F,3.5
BGD,"Bengali                       ",T,97.7
BGR,"Bulgariana                    ",T,83.2
BHR,"Arabic                        ",T,67.7
BHS,"Creole English                ",F,89.7
BIH,"Serbo-Croatian                ",T,99.2
BLR,"Belorussian                   ",T,65.6
BLZ,"English                       ",T,50.8
BMU,"English                       ",T,100.0
BOL,"Aimara                        ",T,3.2
BRA,"German                        ",F,0.5
BRB,"Bajan                         ",F,95.1
BRN,"Chinese                       ",F,9.3
BTN,"Asami                         ",F,15.2
BWA,"Khoekhoe                      ",F,2.5
CAF,"Banda                         ",F,23.5
CAN,"Chinese                       ",F,2.5
CCK,"English                       ",T,0.0
CHE,"French                        ",T,19.2
CHL,"Aimara                        ",F,0.5
CHN,"Chinese                       ",T,92.0
CIV,"[South]Mande                  ",F,7.7
CMR,"Bamileke-bamum                ",F,18.6
COD,"Boa                           ",F,2.3
COG,"Kongo                         ",F,51.5
COK,"English                       ",F,0.0
COL,"Arawakan                      ",F,0.1
COM,"Comorian                      ",T,75.0
CPV,"Crioulo                       ",F,100.0
CRI,"Chibcha                       ",F,0.3
CUB,"Spanish                       ",T,100.0
CXR,"Chinese                       ",F,0.0
CYM,"English                       ",T,0.0
CYP,"Greek                         ",T,74.1
CZE,"Czech                         ",T,81.2
DEU,"German                        ",T,91.3
DJI,"Afar                          ",F,34.8
DMA,"Creole English                ",F,100.0
DNK,"Arabic                        ",F,0.7
DOM,"Creole French                 ",F,2.0
DZA,"Arabic                        ",T,86.0
ECU,"Ket?ua                        ",F,7.0
